tr_cd,usr_no_cnt,logtime,trx_no_s,trx_no_f,through_no,active_no,rum_time_sum,rum_time_max,run_time_mean
SCPDI345091,132,124710,7,6,7,1,3998,3770,392.0
SCSOS631191,112,120300,232,230,231,2,3779086,703184,8180.470842332614
SMAERP14210,119,124500,18,18,18,0,6868,2757,190.7777777777778
SCFOS671011,111,122910,60,60,60,0,1364023,177538,11366.85833333333
SCACT410381,133,125950,18,18,18,0,43210,17930,1200.277777777778
SCCBS210091,113,125210,6,6,6,0,9120,8905,760.0
SCIOT920111,97,121440,90,90,90,0,1409348,117327,7829.711111111111
SUCRM500024,127,124250,485,485,485,0,2819740,57398,2906.948453608247
SCRAP200630,136,125330,18,18,18,0,7091,2216,196.9722222222222
SPPFMONDBAT,145,125940,12,12,12,0,10178590,986707,424107.9166666667
SCSOS610061,130,123820,42,40,42,2,289048,83807,5064.916666666667
SCACT410321,118,124610,1316,1315,1316,1,1746789,14607,663.9532674772037
SCACT447561,94,120700,2,2,2,0,169138,169066,42284.5
STTBET1920A,111,120450,2776,2775,2775,1,3845725,33991,692.7985948477751
SCSBIG20751,133,125400,10,9,9,1,11163,10680,587.5263157894736
SUCRM100096,97,121140,50,50,50,0,1498469,168154,14984.69
SCFOS671011,121,123010,20,20,20,0,180690,82369,4517.25
SUCRM700091,89,121230,12,12,12,0,14563,7266,606.7916666666666
SCCBS270311,111,125310,5,4,4,1,1309,1080,145.4444444444445
SMCRM100019,123,123420,12,12,12,0,30935,18712,1288.958333333333
SCIOT930021,113,122840,723,665,721,58,10958586,997044,8001.024238227147
SUCRM100038,115,122540,5,5,5,0,1872,1751,187.2
SUCRM100022,122,123330,25,25,25,0,63686,19818,1273.72
SCSOS612121,102,121740,18,18,18,0,11919,9026,331.0833333333333
SCIAO540101,95,120110,12,12,12,0,1487756,834315,61989.83333333334
SUCRM101006,113,123940,10,10,10,0,3785,1782,189.25
SUCRM700037,92,120630,6,6,6,0,156857,156730,13071.41666666667
SUCRM700042,104,121920,22,21,21,1,239578,96396,5571.581395348837
SCIOT920081,112,120300,12,12,12,0,321868,245441,13411.16666666667
SUCRM500024,97,120750,115,115,115,0,496390,38989,2158.217391304348
SCBCN100200,113,122030,12,12,12,0,2211,960,92.125
SMSLS00221A,123,122040,48,48,48,0,13554,3699,141.1875
SUCRM109000,122,125650,18,18,18,0,49810,21818,1383.611111111111
SCSOS208001,118,124610,1884,1878,1878,6,4279612,78730,1137.589580010633
SUCRM700011,126,125010,5,5,5,0,45992,45728,4599.2
SPPFMDFEXEC,120,125340,5464,5465,5465,0,1813999,22483,165.9803275688535
SCBCN100210,116,123120,12,12,12,0,2003649,1001653,83485.375
SUCRM100155,90,121330,36,36,36,0,8697,2483,120.7916666666667
SCPDI345111,133,125840,22,22,22,0,1869048,404145,42478.36363636364
SCACT430061,113,125210,6,6,6,0,4620,4379,385.0
SCSOS610111,119,123900,60,60,60,0,274940,26691,2291.166666666667
SCCBS210341,136,125330,18,18,18,0,6297,2628,174.9166666666667
SCCBS210431,117,124340,24,24,24,0,30884,24543,643.4166666666666
SCBCN450010,136,125330,18,18,18,0,55092,28479,1530.333333333333
SCBCN221030,110,122720,18,18,18,0,117212,89146,3255.888888888889
SCACT445011,135,123600,2,2,2,0,5816,4762,1454.0
SMSLS00330A,113,125210,6,6,6,0,236297,235919,19691.41666666667
SCACT410212,103,120610,29,29,29,0,12148,2511,209.448275862069
SMAERA22190,86,121400,8,8,8,0,60115,29019,3757.1875
SPWWMD01411,127,125820,7,7,7,0,4808,4155,343.4285714285714
STTBCT00007,145,125940,12,12,12,0,5777,3112,240.7083333333333
SCACT445861,108,122020,54,54,54,0,159008,25336,1472.296296296296
SUCRM300016,143,125710,44,43,43,1,4833821,4565901,55561.16091954023
SCSBIG40081,100,120620,6,6,6,0,127751,127564,10645.91666666667
SCSOS621071,109,123910,72,72,72,0,62422,6231,433.4861111111111
SCBCN580103,118,124610,6,6,6,0,485559,485268,40463.25
SMCPLY62020,126,125010,36,36,36,0,33083,12656,459.4861111111111
SPPFMDFEXEC,108,121640,5588,5589,5589,0,1785892,14223,159.7827681846649
SVTBBT7904A,101,122340,6,6,6,0,5257,5121,438.0833333333333
SCCBS210491,99,121900,8,8,8,0,340744,338643,21296.5
SCACT441631,110,121550,18,18,18,0,5460,2038,151.6666666666667
SCPDI345111,105,120440,6,6,6,0,394399,393934,32866.58333333334
SCACT430611,103,120610,12,11,12,1,13773,13484,765.3333333333334
SCSOS642751,130,122940,6,6,6,0,2232,2076,186.0
SCLON820051,111,121530,6,6,6,0,168952,168592,14079.33333333333
SCACT445551,130,122940,6,6,6,0,8004,7832,667.0
SCRAP101700,86,120100,105,104,105,1,834064,207682,4393.147619047619
SCACT430061,100,120310,6,6,6,0,7435,7208,619.5833333333334
SUCUS00017S,102,124320,12,8,12,4,6095,3188,544.125
SCSOS644131,122,123000,808,808,808,0,323681,4770,200.2976485148515
SCCBS255061,89,121230,6,6,6,0,53873,53417,4489.416666666667
SCACT450401,111,120450,6,5,6,1,163,64,924.6666666666666
SUCRM300010,121,125150,15,15,15,0,78444,62111,2614.8
SPPFMDFEXEC,85,120240,5748,5749,5749,0,2064912,14801,179.604418543968
SCBCN580070,130,124730,6,6,6,0,15098,14902,1258.166666666667
SUCRM700034,92,120630,24,24,24,0,32713,10699,681.5208333333334
SMAERP14200,138,124010,113,113,113,0,130098,35799,575.6548672566372
SUCRM207002,113,122030,30,30,30,0,5310,1098,88.5
SUCRM101016,109,122550,24,24,24,0,435894,124760,9081.125
FDS001FDS01,123,122040,2,2,2,0,0,0,0.0
SUCRM700088,133,125840,84,84,84,0,107068,7594,637.3095238095239
SCPSI72423A,121,125150,6,6,6,0,9583,9377,798.5833333333334
SCIAO510191,104,123520,54,54,54,0,2549304,329832,23604.66666666667
SMAERP14610,118,124610,18,20,20,0,288708,227257,7597.578947368421
SCACT430061,118,124610,6,6,6,0,5542,5326,461.8333333333333
SCACT444501,85,120240,6,6,6,0,141064,140894,11755.33333333333
SCACT445861,123,123420,66,66,66,0,202453,51209,1533.734848484848
SCACT430611,143,125710,6,6,6,0,7319,7096,609.9166666666666
SUCRM300008,115,122540,5,5,5,0,7201,7052,720.1
SUIBS000430,104,123520,5,5,5,0,4142,4011,414.2
SCFOS670111,101,120250,18,18,18,0,104998,37821,2916.611111111111
SUCRM101008,93,120600,10,10,10,0,114145,112382,5707.25
SCIOT931041,90,121330,2204,2203,2203,1,5139993,102587,1166.324710687543
SMCRM100019,108,122020,12,12,12,0,22320,12696,930.0
SUCRM100023,111,124850,25,25,25,0,819845,231638,16396.9
SCACT421712,121,125150,6,6,6,0,801,628,66.75
SCACT441541,92,120630,6,6,6,0,4161,3975,346.75
SUCUSC0009S,122,125650,755,754,755,1,1273467,58234,844.3529801324503
SCSOS620151,142,125630,114,113,114,1,524781,52316,2331.127192982456
SCIOT930021,115,122540,492,437,493,55,15621926,1831386,16490.3116751269
